[2017-09-19 10:31:01,670: INFO/MainProcess] Connected to amqp://guest:**@127.0.0.1:5672//
[2017-09-19 10:31:02,607: INFO/MainProcess] mingle: searching for neighbors
[2017-09-19 10:31:03,661: INFO/MainProcess] mingle: all alone
[2017-09-19 10:31:03,684: WARNING/MainProcess] /home/netcrime/.virtualenvs/fiba/lib/python3.5/site-packages/celery/fixups/django.py:202: UserWarning: Using settings.DEBUG leads to a memory leak, never use this setting in production environments!
  warnings.warn('Using settings.DEBUG leads to a memory leak, never '
[2017-09-19 10:31:03,684: INFO/MainProcess] celery@netcrime-Inspiron-5558 ready.
[2017-09-19 10:31:03,685: INFO/MainProcess] Received task: main.tasks.check_playing[614c4520-3a88-43d0-a427-f674ef12d97f]  
[2017-09-19 10:31:03,686: INFO/MainProcess] Received task: main.tasks.check_future[9c5b5d2d-0adc-4052-b953-d4805fb1596a]  
[2017-09-19 10:31:03,687: INFO/MainProcess] Received task: main.tasks.check_future[bf0dca3c-0dea-4e06-9631-8394be097946]  
[2017-09-19 10:31:03,688: INFO/MainProcess] Received task: main.tasks.check_playing[d31e7c0c-d6bd-4e5c-b13b-fcd7e63f7bde]  
[2017-09-19 10:31:03,844: INFO/ForkPoolWorker-2] Checking for games in PLAYING state. FOUND: 0
[2017-09-19 10:31:03,850: INFO/ForkPoolWorker-1] Checking for games in PLAYING state. FOUND: 0
[2017-09-19 10:31:03,994: INFO/ForkPoolWorker-3] Task main.tasks.check_future[9c5b5d2d-0adc-4052-b953-d4805fb1596a] succeeded in 0.2039158799998404s: None
[2017-09-19 10:31:04,049: INFO/ForkPoolWorker-2] Task main.tasks.check_playing[d31e7c0c-d6bd-4e5c-b13b-fcd7e63f7bde] succeeded in 0.25761117700039904s: None
[2017-09-19 10:31:04,049: INFO/ForkPoolWorker-1] Task main.tasks.check_playing[614c4520-3a88-43d0-a427-f674ef12d97f] succeeded in 0.25956818499980727s: None
[2017-09-19 10:31:04,049: INFO/ForkPoolWorker-4] Task main.tasks.check_future[bf0dca3c-0dea-4e06-9631-8394be097946] succeeded in 0.25199668200002634s: None
[2017-09-19 10:31:05,935: INFO/MainProcess] Received task: main.tasks.check_playing[5a1af749-085d-4c03-9288-bae87eede8dd]  
[2017-09-19 10:31:05,943: INFO/MainProcess] Received task: main.tasks.check_future[2e0b6fa5-22ea-46dc-ab9f-4cb66f189c3a]  
[2017-09-19 10:31:05,954: INFO/ForkPoolWorker-1] Checking for games in PLAYING state. FOUND: 0
